Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
5;1001605;2НДФЛ;Покупка автомобиля;1;0.39;женский;0;0;высшее;вспомогательный персонал;>250;0;12;26;Торговля;ООО;холост / не замужем;1;1;1;1;0;0;0;1;0;0;1;1;0;5;1;1;0;5;5;0;0;0;0;0;0;0
5;1001625;Форма банка (без печати работодателя);Отпуск;0;0.54;женский;1;0;высшее;менеджер среднего звена;< 50;0;30;46;Другое;ОАО;женат / замужем;0;0;0;0;0;0.0188679245;1;0;0;0;0.2222222222;2;7;104;9;2;0;7;54;1;0;0;0;0;0;0
5;1001645;Свободная форма с печатью работодателя;Ремонт;0;0.29;мужской;0;0;высшее;менеджер среднего звена;>250;0;6;27;Другое;ООО;холост / не замужем;0;0;0;0;0;0;0;0;0;0;0.5;1;1;22;2;0;0;16;16;0;0;0;0;0;0;0
5;1001665;2НДФЛ;Покупка недвижимости/ строительство;1;0.33;женский;1;0;высшее;вспомогательный персонал;>250;0;93;38;Торговля;ЗАО;женат / замужем;4;2;2;1;1;0.2857142857;0;0;0;0;0;0;1;5;1;0;0;62;62;1;0;0;0;0;0;0
5;1001685;Свободная форма с печатью работодателя;Ремонт;1;0.44;мужской;0;0;высшее;менеджер по продажам;< 50;0;70;28;Торговля;Иная форма;женат / замужем;3;3;3;3;3;0;1;0;0;0;1;1;0;7;1;1;0;19;19;0;0;0;0;0;0;0
5;1001705;Поступление зарплаты на счет;Ремонт;1;0.22;женский;0;0;высшее;вспомогательный персонал;>250;1;32;26;Торговля;ООО;холост / не замужем;0;0;0;0;0;0.5438596491;0;0;0;0;1;3;0;26;3;1;0;10;43;1;1;1;1;0;0;0
5;1001725;Поступление зарплаты на счет;Ремонт;0;0.31;женский;0;0;высшее;торговый представитель;>250;0;31;33;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1001745;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0;0.23;женский;2;0;высшее;специалист;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1001765;2НДФЛ;Ремонт;1;0.59;женский;0;0;высшее;специалист;>250;1;15;32;Торговля;ООО;холост / не замужем;4;4;4;4;4;0.0877192982;0;0;0;0;0;0;4;52;4;0;0;69;82;1;0;0;0;0;0;0
5;1001785;Поступление зарплаты на счет;Ремонт;0;0.16;мужской;0;0;высшее;специалист;>250;0;79;28;Торговля;Иная форма;холост / не замужем;1;1;1;0;0;0.32;0;0;0;0;0.5;1;1;17;2;0;0;8;18;1;1;0;0;0;0;0
